claim_id,claim,claim_type,source_ids,evidence_summary,preconditions_or_limits,confidence,status
CL-001,"Skill triggering and post-trigger outcome quality are separate evaluation problems",documented pattern,"AS-001;AS-004;OA-001","Agent Skills separates description triggering from with-skill outcome comparison; OpenAI documents progressive disclosure","Exact discovery behavior can vary by Codex version and the set of installed skills",high,supported
CL-002,"Marginal skill benefit requires a named baseline under comparable tasks",documented pattern,"AS-001;SB-001;OA-006","Primary sources use skill/no-skill or baseline/candidate comparisons and recommend establishing the baseline before a behavior change","A baseline does not control model or infrastructure drift unless those variables are also pinned",high,supported
CL-003,"Verified outcome and execution trajectory provide complementary evidence",documented pattern,"OA-003;AN-001;NV-001","Outcome inspection checks the end state while trace or transcript grading checks behavior during execution","Trajectory capture may be incomplete and can expose sensitive content",high,supported
CL-004,"An agent evaluation result describes the tested configuration rather than one isolated component",inference,"AN-001;HF-001;IA-001;SB-001","Across the reviewed systems result meaning depends on combinations of task model or agent harness environment and grader","Component attribution still requires controlled paired experiments",high,supported inference
CL-005,"Objective properties should use deterministic graders when they can be inspected directly",documented pattern,"OA-004;AN-004;HF-002;SW-001","Tests schemas and state inspection provide direct evidence; model or human graders cover semantic qualities","A deterministic grader can still encode the wrong target or be vulnerable to gaming",high,supported
CL-006,"Repeated trials and environment provenance are needed to interpret stochastic agent results",documented pattern,"AN-001;AN-002;SB-001;TB-001;IA-002","Sources recommend repetitions uncertainty measures and controlled runtime variables","Required repetition count depends on variance task cost and decision risk",high,supported
CL-007,"Outcome quality token use and elapsed time are all relevant and should remain separately visible",documented pattern,"AS-001;AN-001;OA-005;IA-003;HF-004","Sources record outcome measures alongside usage and timing rather than establishing a universal combined score","Token counts differ across tokenizers; time is affected by provider and infrastructure load",high,supported
CL-008,"Infrastructure settings can materially change coding-agent benchmark results",vendor observation,"AN-002;TB-001;HF-008;IA-004","Anthropic reports score movement under resource changes and the frameworks expose resource and network controls","The reported effect size is experiment-specific and should not be generalized",high,supported with limitation
CL-009,"Portable committed cases and artifacts are safer long-term evidence than dependence on one hosted dashboard",inference,"OA-006;OA-007;HF-003;HF-005;IA-003","OpenAI recommends committed eval cases and is retiring its hosted Evals workflow; open tools preserve configs and artifacts","Portability does not remove maintenance cost or make every artifact safe to publish",medium-high,supported inference
CL-010,"Harbor supplies execution and evidence machinery but does not define OpenBoa quality",inference,"HF-001;HF-002;HF-006","Harbor delegates success to task verifiers and dataset metrics","A high-quality OpenBoa task and verifier could still run on Harbor",high,supported inference
CL-011,"Inspect AI exposes rich per-sample usage timing trajectory and statistical evidence",documented fact,"IA-001;IA-002;IA-003;IA-005","Official docs expose usage time messages events scores dataframes and uncertainty metrics","External agents may not expose every side effect and configured cost needs pricing data",high,supported
CL-012,"The inspected Hydra behavior suite measures explicit skill invocation rather than implicit description triggering",observed fact,"HY-001;HY-002","The runner prepends an explicit skill invocation to each live trial; checked-in case inputs do not test description-based triggering","Observation is pinned to the named v0.2 candidate commit",high,supported
CL-013,"Hydra has no measured v0.2 quality token or time baseline in the inspected evidence",observed fact,"HY-003;HY-004","The complete r13 ledger is for v0.1; the v0.2 r14 attempt reports 21 unmeasured cases","A later run may change this state and must be recorded as new evidence",high,supported
CL-014,"Hydra defines an outcome canary but has no accepted canary run ledger in the inspected snapshot",observed fact,"HY-005;HY-006;HY-001","Scenario and schema exist but no accepted result ledger was present","Observation is pinned to the named commit and does not predict later GitHub state",high,supported
CL-015,"Public reproducibility and private holdout integrity create a real trade-off",inference,"TB-001;HF-005;IA-003;IA-004","Public tasks and traces aid auditability but can expose graders data and benchmark content","The right public-private split depends on OpenBoa's threat model and transparency goals",medium,supported inference
CL-016,"The reviewed primary sources do not establish one universal weighted score for quality tokens and time",bounded negative finding,"AS-001;AN-001;OA-005;HF-006;IA-002","The sources expose multiple measures and customizable aggregation but no cross-domain universal weighting","This is bounded to the registered corpus and may change with further research",medium,supported within corpus
