source_id,organization,title,url,accessed,source_type,topic,evidence_level,claim_type,status,notes,published_or_updated,source_version_or_commit,lifecycle_status
AS-001,Agent Skills,Evaluating skills,https://agentskills.io/skill-creation/evaluating-skills,2026-08-26,official guidance,paired evaluation and artifacts,A,documented guidance,reviewed,"Realistic cases; skill/no-skill comparison; tokens; duration; grading; repeated runs",not_stated,versionless_live_docs,current
AS-002,Agent Skills,Using scripts in skills,https://agentskills.io/skill-creation/using-scripts,2026-08-26,official guidance,deterministic scripts,B,documented guidance,reviewed,"Pin versions; noninteractive interfaces; idempotency; dry-run; bounded output",not_stated,versionless_live_docs,current
AS-003,Agent Skills,Skill creation best practices,https://agentskills.io/skill-creation/best-practices,2026-08-26,official guidance,context and instruction design,B,documented guidance,reviewed,"Ground skills in real failures; progressive disclosure; keep context lean",not_stated,versionless_live_docs,current
AS-004,Agent Skills,Optimizing skill descriptions,https://agentskills.io/skill-creation/optimizing-descriptions,2026-08-26,official guidance,trigger evaluation,A,documented guidance,reviewed,"Positive and near-miss negative queries; repetition; fixed train-validation split",not_stated,versionless_live_docs,current
OA-001,OpenAI,Build skills,https://learn.chatgpt.com/docs/build-skills,2026-08-26,official documentation,skill discovery and progressive disclosure,A,documented behavior,reviewed,"Metadata is considered before the full skill body",not_stated,versionless_live_docs,current
OA-002,OpenAI,Agent evals,https://developers.openai.com/api/docs/guides/agent-evals,2026-08-26,official documentation,agent evaluation,A,documented behavior,reviewed,"Datasets; graders; workflow-level evaluation",not_stated,versionless_live_docs,current_guidance_hosted_surface_in_transition
OA-003,OpenAI,Trace grading,https://developers.openai.com/api/docs/guides/trace-grading,2026-08-26,official documentation,trajectory evaluation,A,documented behavior,reviewed,"Scores execution traces including tool and handoff events",not_stated,versionless_live_docs,current_guidance_hosted_surface_in_transition
OA-004,OpenAI,Evaluation best practices,https://developers.openai.com/api/docs/guides/evaluation-best-practices,2026-08-26,official guidance,graders and continuous evaluation,A,documented guidance,reviewed,"Code checks when possible; judge calibration; continuous evaluation",not_stated,versionless_live_docs,current_guidance
OA-005,OpenAI,Model guidance,https://developers.openai.com/api/docs/guides/latest-model,2026-08-26,official guidance,quality token and latency optimization,B,vendor guidance and claim,reviewed,"Change one instruction group at a time; vendor internal lean-prompt result is directional",not_stated,versionless_live_docs,current
OA-006,OpenAI,Add evals to your AI application,https://learn.chatgpt.com/use-cases/ai-app-evals,2026-08-26,official use case,committed Promptfoo baseline,B,documented guidance,reviewed,"Exercise the user path; baseline before behavior changes; commit repeatable cases",not_stated,versionless_live_docs,current
OA-007,OpenAI,Deprecations,https://developers.openai.com/api/docs/deprecations,2026-08-26,official documentation,hosted Evals lifecycle,A,documented product status,reviewed,"Hosted Evals workflow is deprecated; Promptfoo is the stated migration path",2026-06-03,versionless_live_notice,current_deprecation_notice
OA-008,OpenAI,Codex non-interactive mode,https://learn.chatgpt.com/docs/non-interactive-mode,2026-08-26,official documentation,Codex automation and JSONL,A,documented behavior,reviewed,"CI and scheduled execution; JSONL events and structured output",not_stated,versionless_live_docs,current
OA-009,OpenAI,Codex GitHub Action,https://learn.chatgpt.com/docs/github-action,2026-08-26,official documentation,CI and security boundaries,A,documented behavior,reviewed,"Pin execution configuration; separate read and GitHub write authority",not_stated,versionless_live_docs,current
AN-001,Anthropic,Demystifying evals for AI agents,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,2026-08-26,official engineering article,agent evaluation,A,documented guidance and vendor observation,reviewed,"Task; trial; outcome; trajectory; graders; repeated runs; capability and regression suites",2026-01-09,versionless_live_article,current
AN-002,Anthropic,Infrastructure noise in agentic coding evals,https://www.anthropic.com/engineering/infrastructure-noise,2026-08-26,official engineering article,experimental confounders,A,vendor experiment,reviewed,"CPU; memory; timeout; concurrency; network and runtime conditions can shift scores",2026-02-05,versionless_live_article,current
AN-003,Anthropic,Writing tools for agents,https://www.anthropic.com/engineering/writing-tools-for-agents,2026-08-26,official engineering article,tool design and token efficiency,B,vendor guidance,reviewed,"Evaluate tool interfaces; concise responses; iterative improvement",2025-09-11,versionless_live_article,current
AN-004,Anthropic,Develop tests,https://platform.claude.com/docs/en/test-and-evaluate/develop-tests,2026-08-26,official documentation,test and grader design,A,documented guidance,reviewed,"Task-specific tests; automated and human evaluation",not_stated,versionless_live_docs,current
AN-005,Anthropic,Prompt engineering overview,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/overview,2026-08-26,official documentation,prompt optimization,B,documented guidance,reviewed,"Define success and empirical tests before prompt optimization",not_stated,versionless_live_docs,current
NV-001,NVIDIA,Mastering agentic techniques: AI agent evaluation,https://developer.nvidia.com/blog/mastering-agentic-techniques-ai-agent-evaluation/,2026-08-26,official technical article,agent evaluation,B,vendor guidance,reviewed,"Trajectory and outcome evaluation; observability and iterative improvement",not_stated,versionless_live_docs,current
NV-002,NVIDIA,Agentic autonomy levels and security,https://developer.nvidia.com/blog/agentic-autonomy-levels-and-security/,2026-08-26,official technical article,autonomy and security,B,vendor guidance,reviewed,"Authority and tool access change the risk surface",not_stated,versionless_live_docs,current
